day_of_week,date,month,hour,year
6,17,8,15,2024
6,17,8,16,2024
6,17,8,17,2024
6,17,8,18,2024
6,17,8,19,2024
6,17,8,20,2024
6,17,8,21,2024
6,17,8,22,2024
6,17,8,23,2024
0,18,8,0,2024
0,18,8,1,2024
0,18,8,2,2024
0,18,8,3,2024
0,18,8,4,2024
0,18,8,5,2024
0,18,8,6,2024
0,18,8,7,2024
0,18,8,8,2024
0,18,8,9,2024
0,18,8,10,2024
0,18,8,11,2024
0,18,8,12,2024
0,18,8,13,2024
0,18,8,14,2024
0,18,8,15,2024
0,18,8,16,2024
0,18,8,17,2024
0,18,8,18,2024
0,18,8,19,2024
0,18,8,20,2024
0,18,8,21,2024
0,18,8,22,2024
0,18,8,23,2024
1,19,8,0,2024
1,19,8,1,2024
1,19,8,2,2024
1,19,8,3,2024
1,19,8,4,2024
1,19,8,5,2024
1,19,8,6,2024
1,19,8,7,2024
1,19,8,8,2024
1,19,8,9,2024
1,19,8,10,2024
1,19,8,11,2024
1,19,8,12,2024
1,19,8,13,2024
1,19,8,14,2024
1,19,8,15,2024
1,19,8,16,2024
1,19,8,17,2024
1,19,8,18,2024
1,19,8,19,2024
1,19,8,20,2024
1,19,8,21,2024
1,19,8,22,2024
1,19,8,23,2024
2,20,8,0,2024
2,20,8,1,2024
2,20,8,2,2024
2,20,8,3,2024
2,20,8,4,2024
2,20,8,5,2024
2,20,8,6,2024
2,20,8,7,2024
2,20,8,8,2024
2,20,8,9,2024
2,20,8,10,2024
2,20,8,11,2024
2,20,8,12,2024
2,20,8,13,2024
2,20,8,14,2024
2,20,8,15,2024
2,20,8,16,2024
2,20,8,17,2024
2,20,8,18,2024
2,20,8,19,2024
2,20,8,20,2024
2,20,8,21,2024
2,20,8,22,2024
2,20,8,23,2024
